id,groupName,groupType,username,createdAt,replyTo,text,expectedImportance,expectedCategory,scenarioTag,notes,baseScoreBeforeReactions,baseScore,reactionBoost,finalScore,signalCategory,signalConfidence,reactionCounts,matchedRules
edge_0001,Pledge Class 28,Fraternity pledge chat,Mason,2026-04-27T01:00:00.000Z,,bro said formal like he owns the place,noise,noise,funny_keyword,Funny use of formal should not score as event,0,0,6,6,noise,23,"{""🔥"":2,""💀"":2,""😂"":1}",event.social-anchor:12; noise.important-word-joke:-38
edge_0002,Kappa Event Crew,Sorority event planning chat,Nick,2026-04-27T01:04:00.000Z,,deadline for being washed is tonight,noise,noise,funny_deadline,Fake deadline slang,0,0,0,0,noise,20,{},deadline.explicit:32; time.relative:8; deadline.date-context:18; noise.hype-only:-24; noise.important-word-joke:-38
edge_0003,Downtown Survivors,College friend group,Jordan,2026-04-27T01:08:00.000Z,,be at the house by 8 or you're cooked,important,event,casual_important,Casual wording with real arrival time,34,34,0,34,event,49,{},event.arrival-departure:34
edge_0004,Campus Volunteer Board,Student organization/club,Ava,2026-04-27T01:12:00.000Z,,we're leaving in 10 don't be late,important,event,casual_important,Important without obvious date keyword,4,4,8,12,noise,26,"{""✅"":1,""📌"":1}",normalization.alias:4
edge_0005,Club Soccer,Sports team,Olivia,2026-04-27T01:16:00.000Z,,tonight?,maybe,question,vague,Very vague time question,0,0,8,8,noise,24,"{""❓"":1,""👀"":1}",time.relative:8; question.intent:10; noise.one-word:-18
edge_0006,Basement Set Team,DJ/promoter group,Olivia,2026-04-27T01:20:00.000Z,,who's going,maybe,plan,vague,No destination or date,18,18,8,26,plan,52,"{""❓"":1}",plan.whos-going:20; question.intent:10; noise.vague-short:-12
edge_0007,Econ 302 Project,Group project/class chat,Riley,2026-04-27T01:24:00.000Z,,need one,maybe,request,vague,Missing object,0,0,8,8,noise,24,"{""👀"":1,""✅"":1}",noise.vague-short:-12
edge_0008,Lot 14 Tailgate,Tailgate/party planning chat,Marcus,2026-04-27T01:28:00.000Z,,who let him cook?,noise,noise,casual_question,Question as joke,0,0,8,8,noise,24,"{""😂"":3,""💀"":2,""🔥"":3}",question.intent:10; noise.important-word-joke:-38; noise.casual-question:-14; noise.vague-short:-12
edge_0009,Apartment 4B,Apartment/roommate chat,Harper,2026-04-27T01:32:00.000Z,,why is bro like this?,noise,noise,casual_question,Question as joke,0,0,3,3,noise,22,"{""😂"":5,""💀"":2,""🔥"":1}",question.intent:10; noise.important-word-joke:-38
edge_0010,The Big One,Large chaotic general social chat,Grace,2026-04-27T01:36:00.000Z,,LMAOOOOO,noise,noise,high_reaction_noise,Laugh spam,0,0,3,3,noise,22,"{""🔥"":1,""😂"":1}",normalization.alias:4; noise.one-word:-18; noise.laughter:-35; noise.vague-short:-12
edge_0011,Pledge Class 28,Fraternity pledge chat,Sam,2026-04-27T01:40:00.000Z,,bro fell off,noise,noise,high_reaction_noise,Joke likely to get reactions,0,0,6,6,noise,23,"{""😂"":3,""💀"":3,""🔥"":2}",noise.important-word-joke:-38; noise.vague-short:-12
edge_0012,Kappa Event Crew,Sorority event planning chat,Sam,2026-04-27T01:44:00.000Z,,skull emoji,noise,noise,high_reaction_noise,Funny phrase,0,0,6,6,noise,23,"{""🔥"":2}",noise.vague-short:-12
edge_0013,Downtown Survivors,College friend group,Bella,2026-04-27T01:48:00.000Z,,fire fit,noise,noise,high_reaction_noise,Hype not logistics,0,0,3,3,noise,22,"{""😂"":2,""🔥"":1}",noise.hype-only:-24; noise.vague-short:-12
edge_0014,Campus Volunteer Board,Student organization/club,Sophia,2026-04-27T01:52:00.000Z,,rent is due tomorrow,important,deadline,low_reaction_important,Important with no social event keywords,94,94,0,94,deadline,100,{},deadline.explicit:32; deadline.payment:18; time.relative:8; deadline.date-context:18; deadline.object-context:18
edge_0015,Club Soccer,Sports team,Sophia,2026-04-27T01:56:00.000Z,,meeting moved to room 204,important,announcement,low_reaction_important,Change with location,100,100,0,100,announcement,100,{},event.social-anchor:12; announcement.change:30; domain.action-time:12; change.concrete-context:24; announcement.room-location-update:55; structure.concrete-details:8
edge_0016,Basement Set Team,DJ/promoter group,Cam,2026-04-27T02:00:00.000Z,,Friday was insane,noise,noise,date_noise,Date mention in retrospective joke,0,0,0,0,noise,20,{},time.weekday:7; noise.hype-only:-24; noise.important-word-joke:-38
edge_0017,Econ 302 Project,Group project/class chat,Maya,2026-04-27T02:04:00.000Z,,9 is crazy,noise,noise,time_noise,Number is not plan,0,0,0,0,noise,20,"{""😂"":3,""💀"":3}",noise.important-word-joke:-38; noise.vague-short:-12
edge_0018,Lot 14 Tailgate,Tailgate/party planning chat,Olivia,2026-04-27T02:08:00.000Z,,tomorrow gonna be wild,noise,noise,date_noise,Vague hype,0,0,0,0,noise,20,{},time.relative:8; noise.hype-only:-24; noise.important-word-joke:-38
edge_0019,Apartment 4B,Apartment/roommate chat,Mia,2026-04-27T02:12:00.000Z,,party animal,noise,noise,event_word_noise,Event word idiom,0,0,0,0,noise,20,{},event.social-anchor:12; noise.hype-only:-24; noise.important-word-joke:-38; noise.vague-short:-12
edge_0020,The Big One,Large chaotic general social chat,Mia,2026-04-27T02:16:00.000Z,,formal apology incoming,noise,noise,event_word_noise,Formal is not event,0,0,0,0,noise,20,{},event.social-anchor:12; noise.hype-only:-24; noise.important-word-joke:-38
edge_0021,Pledge Class 28,Fraternity pledge chat,Sam,2026-04-27T02:20:00.000Z,,rush hour traffic sucks,noise,noise,event_word_noise,Rush is not recruitment,0,0,0,0,noise,20,{},event.social-anchor:12; noise.hype-only:-24; noise.important-word-joke:-38
edge_0022,Kappa Event Crew,Sorority event planning chat,Ava,2026-04-27T02:24:00.000Z,,can someone tell Tyler to stop yelling,noise,noise,joke_request,Request-shaped joke,0,0,3,3,noise,22,"{""💀"":2,""🔥"":1}",question.intent:10; noise.important-word-joke:-38
edge_0023,Downtown Survivors,College friend group,Marcus,2026-04-27T02:28:00.000Z,,need bro to retire,noise,noise,joke_request,Need-shaped joke,0,0,0,0,noise,20,{},noise.important-word-joke:-38
edge_0024,Campus Volunteer Board,Student organization/club,Sophia,2026-04-27T02:32:00.000Z,edge_0023,same place as last time,maybe,question,context_required,Requires context,10,10,0,10,noise,25,"{""😂"":1}",question.intent:10
edge_0025,Club Soccer,Sports team,Sophia,2026-04-27T02:36:00.000Z,edge_0024,bring that again,maybe,logistics,context_required,Requires previous object,0,0,8,8,noise,24,"{""❓"":1}",noise.vague-short:-12
edge_0026,Basement Set Team,DJ/promoter group,Grace,2026-04-27T02:40:00.000Z,edge_0025,we're still on,maybe,plan,context_required,Requires prior plan,0,0,0,0,noise,20,{},normalization.alias:4; noise.vague-short:-12
edge_0027,Econ 302 Project,Group project/class chat,Mia,2026-04-27T02:44:00.000Z,edge_0026,it got moved,maybe,announcement,context_required,No destination/date,18,18,8,26,announcement,44,"{""👀"":1,""😂"":1}",announcement.change:30; noise.vague-short:-12
