id,groupName,groupType,username,createdAt,replyTo,text,expectedImportance,expectedCategory,scenarioTag,notes,baseScoreBeforeReactions,baseScore,reactionBoost,finalScore,signalCategory,signalConfidence,reactionCounts,matchedRules
msg_00001,Pledge Class 28,Fraternity pledge chat,Jordan,2026-04-17T16:01:00.000Z,,might go downtown later,maybe,noise,vague_plan,Ambiguous message that may be useful in context,12,12,0,12,noise,26,{},event.social-anchor:12
msg_00002,Pledge Class 28,Fraternity pledge chat,Chris,2026-04-17T16:05:00.000Z,msg_00001,chapter moved to Thursday at 6,important,announcement,change,Generated important Fraternity pledge chat message,100,100,30,100,announcement,100,"{""✅"":1,""📌"":1}",event.social-anchor:12; event.meeting-time:24; announcement.change:30; time.weekday:7; time.explicit:12; event.concrete-time:16; domain.action-time:12; change.concrete-context:24; announcement.date-context:14; structure.concrete-details:8
msg_00003,Pledge Class 28,Fraternity pledge chat,Jordan,2026-04-17T16:07:00.000Z,,chapter moved to Thursday at 6,important,announcement,change,Generated important Fraternity pledge chat message,100,100,8,100,announcement,100,"{""👀"":1}",event.social-anchor:12; event.meeting-time:24; announcement.change:30; time.weekday:7; time.explicit:12; event.concrete-time:16; domain.action-time:12; change.concrete-context:24; announcement.date-context:14; structure.concrete-details:8
msg_00004,Pledge Class 28,Fraternity pledge chat,Bella,2026-04-17T16:09:00.000Z,,does anyone have tickets left?,maybe,request,ticket_availability,Ambiguous message that may be useful in context,45,45,0,45,request,77,{},deadline.payment:18; request.can-someone:24; request.ticket-availability:18; question.intent:10; noise.ticket-availability-not-deadline:-25
msg_00005,Pledge Class 28,Fraternity pledge chat,Chris,2026-04-17T16:13:00.000Z,,what time is tailgate again,maybe,question,event_question,Ambiguous message that may be useful in context,30,30,0,30,question,64,{},event.social-anchor:12; question.intent:10; question.event-context:8
msg_00006,Pledge Class 28,Fraternity pledge chat,Ava,2026-04-17T16:16:00.000Z,,we need one more for the Uber leaving at 9,important,logistics,ride_count,Generated important Fraternity pledge chat message,100,100,12,100,logistics,100,"{""✅"":1}",request.concrete-need:28; logistics.transport:20; event.arrival-departure:34; time.explicit:12; logistics.uber-count:20; request.object-action:10; structure.concrete-details:8
msg_00007,Pledge Class 28,Fraternity pledge chat,Mason,2026-04-17T16:18:00.000Z,,lmao,noise,noise,noise,"Noise, joke, hype, or vague reply",0,0,0,0,noise,20,{},noise.one-word:-18; noise.laughter:-35; noise.vague-short:-12
msg_00008,Pledge Class 28,Fraternity pledge chat,Sophia,2026-04-17T16:22:00.000Z,,we need one more for the Uber leaving at 9,important,logistics,ride_count,Generated important Fraternity pledge chat message,100,100,0,100,logistics,100,{},request.concrete-need:28; logistics.transport:20; event.arrival-departure:34; time.explicit:12; logistics.uber-count:20; request.object-action:10; structure.concrete-details:8
msg_00009,Pledge Class 28,Fraternity pledge chat,Riley,2026-04-17T16:24:00.000Z,,fire fit,noise,noise,noise,"Noise, joke, hype, or vague reply",0,0,0,0,noise,20,{},noise.hype-only:-24; noise.vague-short:-12
msg_00010,Pledge Class 28,Fraternity pledge chat,Chris,2026-04-17T16:29:00.000Z,,9 is crazy,noise,noise,noise,"Noise, joke, hype, or vague reply",0,0,0,0,noise,20,{},noise.important-word-joke:-38; noise.vague-short:-12
msg_00011,Pledge Class 28,Fraternity pledge chat,Bella,2026-04-17T16:31:00.000Z,,deadline for being washed is tonight,noise,noise,noise,"Noise, joke, hype, or vague reply",0,0,0,0,noise,20,{},deadline.explicit:32; time.relative:8; deadline.date-context:18; noise.hype-only:-24; noise.important-word-joke:-38
msg_00012,Pledge Class 28,Fraternity pledge chat,Mason,2026-04-17T16:34:00.000Z,,yo,noise,noise,noise,"Noise, joke, hype, or vague reply",0,0,0,0,noise,20,{},noise.one-word:-18; noise.casual-reply:-28; noise.vague-short:-12
msg_00013,Pledge Class 28,Fraternity pledge chat,Mia,2026-04-17T16:38:00.000Z,,I can drive after 10,maybe,logistics,availability,Ambiguous message that may be useful in context,42,42,0,42,logistics,60,{},logistics.transport:20; commitment.availability:22
msg_00014,Pledge Class 28,Fraternity pledge chat,Cam,2026-04-17T16:39:00.000Z,msg_00003,might go downtown later,maybe,noise,vague_plan,Ambiguous message that may be useful in context,12,12,8,20,noise,30,"{""❓"":1,""👀"":1,""😂"":1}",event.social-anchor:12
msg_00015,Pledge Class 28,Fraternity pledge chat,Mason,2026-04-17T16:43:00.000Z,,can someone bring speakers to the pregame,important,request,supplies,Generated important Fraternity pledge chat message,100,100,8,100,request,100,"{""❓"":1}",request.can-someone:24; logistics.supplies:25; event.social-anchor:12; question.intent:10; logistics.supply-context:12; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10
msg_00016,Pledge Class 28,Fraternity pledge chat,Riley,2026-04-17T16:45:00.000Z,,nah,noise,noise,noise,"Noise, joke, hype, or vague reply",0,0,6,6,noise,23,"{""🔥"":2,""💀"":3}",noise.one-word:-18; noise.casual-reply:-28; noise.vague-short:-12
msg_00017,Pledge Class 28,Fraternity pledge chat,Maya,2026-04-17T16:48:00.000Z,msg_00013,anyone going out tonight?,maybe,plan,loose_plan,Ambiguous message that may be useful in context,38,38,8,46,plan,67,"{""❓"":1,""😂"":1}",plan.whos-going:20; time.relative:8; question.intent:10
msg_00018,Pledge Class 28,Fraternity pledge chat,Jordan,2026-04-17T16:53:00.000Z,,I can drive after 10,maybe,logistics,availability,Ambiguous message that may be useful in context,42,42,8,50,logistics,60,"{""👀"":1,""😂"":1}",logistics.transport:20; commitment.availability:22
msg_00019,Pledge Class 28,Fraternity pledge chat,Jordan,2026-04-17T16:54:00.000Z,,need bro to retire,noise,noise,noise,"Noise, joke, hype, or vague reply",0,0,0,0,noise,20,{},noise.important-word-joke:-38
