id,groupName,groupType,username,createdAt,replyTo,text,expectedImportance,expectedCategory,scenarioTag,notes,baseScoreBeforeReactions,baseScore,reactionBoost,finalScore,signalCategory,signalConfidence,reactionCounts,matchedRules
msg_00023,Pledge Class 28,Fraternity pledge chat,Riley,2026-04-17T17:07:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,8,100,request,100,"{""❓"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00047,Pledge Class 28,Fraternity pledge chat,Sam,2026-04-17T18:18:00.000Z,,I can bring cups,maybe,logistics,supply_commitment,Ambiguous message that may be useful in context,75,75,0,75,logistics,79,"{""😂"":1}",logistics.supplies:25; commitment.availability:22; logistics.direct-supply-command:28
msg_00048,Pledge Class 28,Fraternity pledge chat,Ava,2026-04-17T18:21:00.000Z,msg_00005,I can bring cups,maybe,logistics,supply_commitment,Ambiguous message that may be useful in context,75,75,8,83,logistics,79,"{""❓"":1}",logistics.supplies:25; commitment.availability:22; logistics.direct-supply-command:28
msg_00065,Pledge Class 28,Fraternity pledge chat,Maya,2026-04-17T19:12:00.000Z,,I can bring cups,maybe,logistics,supply_commitment,Ambiguous message that may be useful in context,75,75,0,75,logistics,79,{},logistics.supplies:25; commitment.availability:22; logistics.direct-supply-command:28
msg_00069,Pledge Class 28,Fraternity pledge chat,Sophia,2026-04-17T19:24:00.000Z,,I can bring cups,maybe,logistics,supply_commitment,Ambiguous message that may be useful in context,75,75,0,75,logistics,79,{},logistics.supplies:25; commitment.availability:22; logistics.direct-supply-command:28
msg_00079,Pledge Class 28,Fraternity pledge chat,Jordan,2026-04-17T19:55:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,8,100,request,100,"{""👀"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00145,Pledge Class 28,Fraternity pledge chat,Logan,2026-04-17T23:13:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,8,100,request,100,"{""❓"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00166,Pledge Class 28,Fraternity pledge chat,Bella,2026-04-18T00:15:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,0,100,request,100,{},request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00190,Kappa Event Crew,Sorority event planning chat,Riley,2026-04-18T01:28:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,8,100,request,100,"{""👀"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00206,Kappa Event Crew,Sorority event planning chat,Jordan,2026-04-18T02:16:00.000Z,,I can bring cups,maybe,logistics,supply_commitment,Ambiguous message that may be useful in context,75,75,0,75,logistics,79,{},logistics.supplies:25; commitment.availability:22; logistics.direct-supply-command:28
msg_00209,Kappa Event Crew,Sorority event planning chat,Riley,2026-04-18T02:24:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,0,100,request,100,{},request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00237,Kappa Event Crew,Sorority event planning chat,Ethan,2026-04-18T03:49:00.000Z,,I could drive tomorrow,maybe,logistics,availability,Ambiguous message that may be useful in context,50,50,16,66,logistics,71,"{""❓"":1,""👀"":1}",logistics.transport:20; commitment.availability:22; time.relative:8
msg_00240,Kappa Event Crew,Sorority event planning chat,Sophia,2026-04-18T03:57:00.000Z,,I can bring cups,maybe,logistics,supply_commitment,Ambiguous message that may be useful in context,75,75,12,87,logistics,79,"{""✅"":1,""😂"":1}",logistics.supplies:25; commitment.availability:22; logistics.direct-supply-command:28
msg_00276,Kappa Event Crew,Sorority event planning chat,Chris,2026-04-18T05:45:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,0,100,request,100,"{""😂"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00299,Kappa Event Crew,Sorority event planning chat,Bella,2026-04-18T06:56:00.000Z,msg_00215,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,0,100,request,100,{},request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00302,Kappa Event Crew,Sorority event planning chat,Chris,2026-04-18T07:03:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,8,100,request,100,"{""❓"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00310,Kappa Event Crew,Sorority event planning chat,Mia,2026-04-18T07:27:00.000Z,,I can bring cups,maybe,logistics,supply_commitment,Ambiguous message that may be useful in context,75,75,0,75,logistics,79,"{""😂"":1}",logistics.supplies:25; commitment.availability:22; logistics.direct-supply-command:28
msg_00314,Kappa Event Crew,Sorority event planning chat,Tyler,2026-04-18T07:41:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,8,100,request,100,"{""❓"":1,""😂"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00348,Kappa Event Crew,Sorority event planning chat,Ethan,2026-04-18T09:22:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,12,100,request,100,"{""✅"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00349,Kappa Event Crew,Sorority event planning chat,Logan,2026-04-18T09:26:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,0,100,request,100,{},request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00358,Kappa Event Crew,Sorority event planning chat,Sophia,2026-04-18T09:52:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,8,100,request,100,"{""❓"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00360,Kappa Event Crew,Sorority event planning chat,Chris,2026-04-18T09:57:00.000Z,,I could drive tomorrow,maybe,logistics,availability,Ambiguous message that may be useful in context,50,50,16,66,logistics,71,"{""❓"":1,""👀"":1}",logistics.transport:20; commitment.availability:22; time.relative:8
msg_00384,Downtown Survivors,College friend group,Logan,2026-04-18T11:10:00.000Z,,anyone able to grab snacks?,maybe,request,soft_request,Ambiguous message that may be useful in context,100,100,0,100,request,100,"{""😂"":1}",request.can-someone:24; logistics.supplies:25; question.intent:10; logistics.direct-supply-command:28; request.bring-supplies:14; request.object-action:10; question.event-context:8
msg_00398,Downtown Survivors,College friend group,Marcus,2026-04-18T11:52:00.000Z,,bring drinks if you have any,maybe,logistics,soft_supplies,Ambiguous message that may be useful in context,53,53,12,65,logistics,64,"{""✅"":1}",logistics.supplies:25; logistics.direct-supply-command:28
msg_00419,Downtown Survivors,College friend group,Jake,2026-04-18T12:54:00.000Z,,bring drinks if you have any,maybe,logistics,soft_supplies,Ambiguous message that may be useful in context,53,53,18,71,logistics,64,"{""❓"":1,""✅"":1}",logistics.supplies:25; logistics.direct-supply-command:28
